Name,Street,City,State,Phone,Website,Email,Type,Services,Comments,Hours
Abia State University Teaching Hospital,,,,,"abiastateuniversity.edu.ng, absuthng.org",info@absuthng.org,Public,"Health Care Training,Surgery,Internal medicine,Vesicovaginal fistula (VVF) surgery and,HIV Care including Antiretroviral Treatment program,Obstetrics,Pediatrics,Gynecology,Ophthalmology",,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Federal Medical Centre Umuahia,,,,,fmc-umuahia.com.ng,"fmcumuahia@fmc-umuahia.com.ng, fmcnhisumuahia@yahoo.com",Public,"Dental Clinic,Eye Clinic,Medical Services: Gastroenterology, Hematology,Surgical Services: General Surgery, Anaesthesia, Pediatric Surgery,Obstetrics and Gynecology Services: Obstetrics, Gynecology, Fertility/Assisted Reproductive Techniques,Pediatrics Services: Gastroenterology, Nephrology, Oncology, Endocrinology,Specific Clinical Services: Antenatal Care (ANC), Immunization, HIV/ AIDS, Non-Communicable Diseases, Family Planning, Intensive Care, Communicable Diseases, Hepatitis, Accidents and Emergency, Nutrition, Health Education, Community Mobilization, Maternal and newborn care,Onsite Laboratory,Outpatient Services,Inpatient Services,Onsite Laboratory,Onsite Imaging,Onsite Pharmacy,Ambulance Service","Child Friendly,Free Parking,Debit Cards","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
LIFE CARE CLINICS LTD,,,,,,lifecareclinicsltdaba@yahoo.com,Private,"Medical Services: Gastroenterology, Hematology,Surgical Services: General Surgery, Anaesthesia, Pediatric Surgery,Obstetrics and Gynecology Services: Obstetrics Gynecology Fertility/Assisted Reproductive Techniques,Pediatrics Services: Gastroenterology Nephrology Oncology Endocrinology,Specific Clinical Services: Antenatal Care (ANC), Immunization, HIV/ AIDS, Non-Communicable Diseases, Family Planning, Intensive Care, Communicable Diseases, Hepatitis, Accidents and Emergency, Nutrition, Health Education, Community Mobilization, Maternal and newborn care,Onsite Laboratory,Onsite Imaging,Onsite Pharmacy,Ambulance Service","Free Parking,Debit Cards","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Living Word Mission Hospital,,,,,livingwordmissionhospital@yahoo.com,,Private,"Dental Clinic,Eye Clinic,Onsite Laboratory,Onsite Pharmacy,Ambulance Service","Child Friendly,Free Parking,Debit Cards","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Mendel Hospital,,,,,,mendel.hosiptal@yahoo.com,Private,General hospital services,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
New Era Hospital Limited,,,,,,newera6000@yahoo.com,Private,"Eye Clinic,Dental Clinic,Medical Services: Gastroenterology, Hematology,Surgical Services: General Surgery, Anaesthesia, Pediatrics Surgery,Obstetrics and Gynecology Services: Obstetrics, Gynecology, Fertility/Assisted Reproductive Techniques,Pediatrics Services: Gastroenterology, Nephrology, Oncology, Endocrinology,Specific Clinical Services: Antenatal Care (ANC), Immunization, HIV/ AIDS, Non-Communicable Diseases, Family Planning, Intensive Care, Communicable Diseases, Hepatitis, Accidents and Emergency, Nutrition, Health Education, Community Mobilization, Maternal and newborn care,Onsite Laboratory,Onsite Imaging,Onsite Pharmacy,Ambulance Service","Child Friendly,Debit Cards","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Nigerian Christian Hospital,,,,,sites.google.com/a/davidlipscomb.org/west-end-m/Home/nigerian-christian-hospital,tom.ihcf@sbcglobal.net,Missionary,"Medical,Obstetrical,Surgical,Pediatric,Outpatient Services","Teaching and Preaching the message of Jesus,Training ground for young Doctors and Nurses, both Nigerian and expatriate,You will find many opportunities, both medical and non-medical, to serve on this large Hospital compound","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Alpha Inland Hospital,,,,,,drenweremadu@yahoo.com,Private,"Eye Care,Cancer Management,Dental Care,Preventive Healthcare.",,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
St. Anthony's Hospital,,,,,,,Private,General hospital services,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Zikora Medical Center,,,,,,,Private,General hospital services,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
